l = 1564.
Q Cache of size 1000MB storing 1564 rows.
SMO (2D) selected.
Iteration 1, WS = [432, 1056], MinDeltaObj = -2265.979457492955, Gmax = 61.47, Gmin = 1, DeltaGradient = 60.47, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 2 (#BSV = 2)
Iteration 25, WS = [180, 1526], MinDeltaObj = -466.71319892855956, Gmax = 39.481868190738936, Gmin = 18.57050166261158, DeltaGradient = 20.911366528127356, 2D Update: i = 0 -> 52.975614130131746, j = 0 -> 52.975614130131746, #SV = 39 (#BSV = 27)
Iteration 26, WS = [45, 892], MinDeltaObj = -5113.793616645229, Gmax = 44.112726733630446, Gmin = 9.692785526828043, DeltaGradient = 34.419941206802406, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 41 (#BSV = 29)
Iteration 27, WS = [22, 1050], MinDeltaObj = -2950.1496919355764, Gmax = 42.88020431202334, Gmin = 9.858240844924573, DeltaGradient = 33.021963467098765, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 43 (#BSV = 31)
Iteration 28, WS = [218, 1517], MinDeltaObj = -1087.2993966140768, Gmax = 42.23729856921909, Gmin = 10.140486082651325, DeltaGradient = 32.09681248656777, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 45 (#BSV = 33)
Iteration 29, WS = [99, 993], MinDeltaObj = -1258.128048027613, Gmax = 42.63087252556574, Gmin = 8.242301115829218, DeltaGradient = 34.38857140973653, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 47 (#BSV = 35)
Iteration 30, WS = [215, 1217], MinDeltaObj = -467.79081083389997, Gmax = 42.46504113978924, Gmin = 9.155103633750258, DeltaGradient = 33.309937506038985, 2D Update: i = 0 -> 36.616955784091346, j = 0 -> 36.616955784091346, #SV = 49 (#BSV = 35)
Iteration 31, WS = [548, 1329], MinDeltaObj = -632.5431397323077, Gmax = 42.727122746248256, Gmin = 21.46541543627446, DeltaGradient = 21.261707309973797, 2D Update: i = 64.29131085093618 -> 100, j = 0 -> 35.708689149063815, #SV = 50 (#BSV = 36)
Iteration 32, WS = [358, 1077], MinDeltaObj = -1794.1921988274657, Gmax = 42.50631139881961, Gmin = 21.213903394788602, DeltaGradient = 21.29240800403101, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 52 (#BSV = 38)
Iteration 33, WS = [75, 1217], MinDeltaObj = -631.918459590087, Gmax = 39.92416933930703, Gmin = 18.49509647432169, DeltaGradient = 21.429072864985336, 2D Update: i = 0 -> 63.383044215908654, j = 36.616955784091346 -> 100, #SV = 53 (#BSV = 39)
Iteration 34, WS = [233, 1023], MinDeltaObj = -674.366350877105, Gmax = 41.27609660343571, Gmin = 19.186269939685072, DeltaGradient = 22.08982666375064, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 55 (#BSV = 41)
Iteration 35, WS = [29, 1453], MinDeltaObj = -2438.9252270102015, Gmax = 46.703760978390264, Gmin = 10.25445148609927, DeltaGradient = 36.44930949229099, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 57 (#BSV = 43)
Iteration 36, WS = [252, 1408], MinDeltaObj = -3336.9622808495046, Gmax = 46.1245177475933, Gmin = 10.48041332144756, DeltaGradient = 35.644104426145745, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 59 (#BSV = 45)
Iteration 37, WS = [139, 1371], MinDeltaObj = -3181.4789614372476, Gmax = 45.705656908935, Gmin = 9.969026445748998, DeltaGradient = 35.736630463186, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 61 (#BSV = 47)
Iteration 38, WS = [71, 1168], MinDeltaObj = -1666.1248502656254, Gmax = 45.585666751393, Gmin = 10.667820684688056, DeltaGradient = 34.91784606670494, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 63 (#BSV = 49)
Iteration 39, WS = [94, 1329], MinDeltaObj = -1349.776577566564, Gmax = 48.29163456358221, Gmin = 17.77962467493907, DeltaGradient = 30.51200988864314, 2D Update: i = 0 -> 64.29131085093618, j = 35.708689149063815 -> 100, #SV = 64 (#BSV = 50)
Iteration 40, WS = [209, 1283], MinDeltaObj = -629.3124761953807, Gmax = 48.34808399948623, Gmin = 21.914866867951392, DeltaGradient = 26.433217131534835, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 66 (#BSV = 52)
Iteration 41, WS = [306, 1079], MinDeltaObj = -1367.1647548220562, Gmax = 48.682101339626364, Gmin = 27.53786072409302, DeltaGradient = 21.144240615533345, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 68 (#BSV = 54)
Iteration 42, WS = [94, 1249], MinDeltaObj = -1065.6887355074132, Gmax = 49.616475805545704, Gmin = 25.279087687862354, DeltaGradient = 24.33738811768335, 2D Update: i = 64.29131085093618 -> 100, j = 0 -> 35.708689149063815, #SV = 69 (#BSV = 55)
Iteration 43, WS = [168, 1007], MinDeltaObj = -1707.135415943206, Gmax = 48.087694947904296, Gmin = 23.207236129615005, DeltaGradient = 24.88045881828929, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 71 (#BSV = 57)
Iteration 44, WS = [371, 1533], MinDeltaObj = -1173.9110812265667, Gmax = 46.558468375397126, Gmin = 19.82203168922846, DeltaGradient = 26.736436686168666, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 73 (#BSV = 59)
Iteration 45, WS = [28, 1491], MinDeltaObj = -468.87429949696553, Gmax = 47.07930966304256, Gmin = 21.323453428306717, DeltaGradient = 25.75585623473584, 2D Update: i = 0 -> 95.75316401883848, j = 0 -> 95.75316401883848, #SV = 75 (#BSV = 59)
Iteration 46, WS = [420, 1317], MinDeltaObj = -1819.4564960349364, Gmax = 51.865119734851845, Gmin = 23.758493131906114, DeltaGradient = 28.10662660294573, 2D Update: i = 0 -> 66.71937604880286, j = 33.28062395119714 -> 100, #SV = 76 (#BSV = 60)
Iteration 47, WS = [420, 1526], MinDeltaObj = -1380.4104256829555, Gmax = 51.467202010255065, Gmin = 23.773189741255926, DeltaGradient = 27.69401226899914, 2D Update: i = 66.71937604880286 -> 100, j = 52.975614130131746 -> 86.25623808132889, #SV = 76 (#BSV = 61)
Iteration 48, WS = [691, 989], MinDeltaObj = -561.0445229149772, Gmax = 50.61716005558315, Gmin = 24.132302587743617, DeltaGradient = 26.484857467839532, 2D Update: i = 0 -> 75.20177058630566, j = 0 -> 75.20177058630566, #SV = 78 (#BSV = 61)
Iteration 49, WS = [221, 1277], MinDeltaObj = -3356.795963492334, Gmax = 52.685045951477, Gmin = 26.050349666695638, DeltaGradient = 26.634696284781363, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 80 (#BSV = 63)
Iteration 50, WS = [75, 1006], MinDeltaObj = -375.0115952878651, Gmax = 48.79726688663555, Gmin = 26.32856415786808, DeltaGradient = 22.468702728767468, 2D Update: i = 63.383044215908654 -> 100, j = 0 -> 36.616955784091346, #SV = 81 (#BSV = 64)
Iteration 51, WS = [654, 432], MinDeltaObj = -249.79582788269838, Gmax = 42.529547018566106, Gmin = 20.206235843404073, DeltaGradient = 22.323311175162033, 2D Update: i = 78.92691618948385 -> 100, j = 77.70907596345188 -> 56.63599215293573, #SV = 81 (#BSV = 65)
Iteration 52, WS = [551, 1105], MinDeltaObj = -162.11210182035063, Gmax = 40.11641422594868, Gmin = 20.992981179164083, DeltaGradient = 19.123433046784598, 2D Update: i = 0 -> 16.95428863883915, j = 0 -> 16.95428863883915, #SV = 83 (#BSV = 65)
Iteration 53, WS = [507, 943], MinDeltaObj = -7145.906077501161, Gmax = 39.52262579582448, Gmin = 24.125221258645468, DeltaGradient = 15.397404537179014, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 85 (#BSV = 67)
Iteration 54, WS = [101, 989], MinDeltaObj = -375.7774594619571, Gmax = 39.52356744228339, Gmin = 24.18596254474801, DeltaGradient = 15.337604897535378, 2D Update: i = 0 -> 24.798229413694344, j = 75.20177058630566 -> 100, #SV = 86 (#BSV = 68)
Iteration 55, WS = [395, 1491], MinDeltaObj = -698.2790573596267, Gmax = 40.68495372136246, Gmin = 23.695769358376445, DeltaGradient = 16.989184362986016, 2D Update: i = 0 -> 4.246835981161524, j = 95.75316401883848 -> 100, #SV = 87 (#BSV = 69)
Iteration 56, WS = [395, 1526], MinDeltaObj = -473.2509530916722, Gmax = 40.52313098032698, Gmin = 23.787299629725737, DeltaGradient = 16.735831350601245, 2D Update: i = 4.246835981161524 -> 17.990597899832636, j = 86.25623808132889 -> 100, #SV = 87 (#BSV = 70)
Iteration 57, WS = [238, 960], MinDeltaObj = -743.6519923026044, Gmax = 40.22022695515354, Gmin = 22.1084513580238, DeltaGradient = 18.111775597129743, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 89 (#BSV = 72)
Iteration 58, WS = [628, 1437], MinDeltaObj = -336.2953504084304, Gmax = 41.664231301338724, Gmin = 18.69192947127351, DeltaGradient = 22.972301830065213, 2D Update: i = 0 -> 31.356069075028596, j = 0 -> 31.356069075028596, #SV = 91 (#BSV = 72)
Iteration 59, WS = [716, 1045], MinDeltaObj = -748.2766614538072, Gmax = 37.686828172849076, Gmin = 19.87211949639022, DeltaGradient = 17.814708676458856, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 93 (#BSV = 74)
Iteration 60, WS = [49, 1556], MinDeltaObj = -336.01931322123664, Gmax = 35.8298507179515, Gmin = 16.42342186026247, DeltaGradient = 19.406428857689033, 2D Update: i = 0 -> 66.10303791679095, j = 0 -> 66.10303791679095, #SV = 95 (#BSV = 74)
Iteration 61, WS = [76, 1446], MinDeltaObj = -220.66157893527568, Gmax = 37.68766272206838, Gmin = 12.773654720031182, DeltaGradient = 24.9140080020372, 2D Update: i = 0 -> 21.8911263604085, j = 0 -> 21.8911263604085, #SV = 97 (#BSV = 74)
Iteration 62, WS = [235, 1446], MinDeltaObj = -662.7180123748727, Gmax = 36.01558797122424, Gmin = 22.511757260176502, DeltaGradient = 13.50383071104774, 2D Update: i = 0 -> 78.10887363959151, j = 21.8911263604085 -> 100, #SV = 98 (#BSV = 75)
Iteration 63, WS = [101, 854], MinDeltaObj = -678.0194256410904, Gmax = 37.29548041479336, Gmin = 17.977468434039668, DeltaGradient = 19.318011980753692, 2D Update: i = 24.798229413694344 -> 100, j = 0 -> 75.20177058630566, #SV = 99 (#BSV = 76)
Iteration 64, WS = [180, 1068], MinDeltaObj = -254.27686233590146, Gmax = 34.209529613571505, Gmin = 19.9261143381325, DeltaGradient = 14.283415275439005, 2D Update: i = 52.975614130131746 -> 100, j = 0 -> 47.024385869868254, #SV = 100 (#BSV = 77)
Iteration 65, WS = [282, 1440], MinDeltaObj = -1214.0912842111256, Gmax = 34.91176253790497, Gmin = 20.726336458378203, DeltaGradient = 14.185426079526767, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 102 (#BSV = 79)
Iteration 66, WS = [9, 1213], MinDeltaObj = -3384.4742760622535, Gmax = 35.602030413305336, Gmin = 20.966597553442867, DeltaGradient = 14.635432859862469, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 104 (#BSV = 81)
Iteration 67, WS = [242, 1344], MinDeltaObj = -440.41918246603757, Gmax = 35.36128722382092, Gmin = 21.169477315545308, DeltaGradient = 14.191809908275616, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 106 (#BSV = 83)
Iteration 68, WS = [817, 1033], MinDeltaObj = -672.0632499116334, Gmax = 37.76790473532556, Gmin = 19.729388501038404, DeltaGradient = 18.038516234287155, 2D Update: i = 100 -> 0, j = 0 -> 100, #SV = 106 (#BSV = 83)
Iteration 69, WS = [235, 1158], MinDeltaObj = -302.4921091888886, Gmax = 39.85771406800671, Gmin = 24.787169077632946, DeltaGradient = 15.070544990373762, 2D Update: i = 78.10887363959151 -> 100, j = 0 -> 21.891126360408492, #SV = 107 (#BSV = 84)
Iteration 70, WS = [198, 1013], MinDeltaObj = -1187.6927339888127, Gmax = 39.791404234891104, Gmin = 25.824797359055058, DeltaGradient = 13.966606875836046, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 109 (#BSV = 86)
Iteration 71, WS = [189, 1193], MinDeltaObj = -344.4553631708471, Gmax = 39.48793866544689, Gmin = 24.473855771279748, DeltaGradient = 15.014082894167142, 2D Update: i = 0 -> 61.34854438824726, j = 0 -> 61.34854438824726, #SV = 111 (#BSV = 86)
