l = 1564.
Q Cache of size 1000MB storing 1564 rows.
ISDA (1D) selected.
Iteration 51, WS = [238], MaxViolation = 9.950823048425262, 1D Update: 0 -> 9.046202771295691, #SV = 42 (#BSV = 37)
Iteration 52, WS = [969], MaxViolation = 9.661087242619207, 1D Update: 0 -> 8.782806584199278, #SV = 43 (#BSV = 37)
Iteration 53, WS = [199], MaxViolation = 9.180574431093461, 1D Update: 0 -> 8.34597675553951, #SV = 44 (#BSV = 37)
Iteration 54, WS = [1304], MaxViolation = 9.843377680178975, 1D Update: 0 -> 8.948525163799067, #SV = 45 (#BSV = 37)
Iteration 55, WS = [45], MaxViolation = 9.870679113431432, 1D Update: 0 -> 8.97334464857403, #SV = 46 (#BSV = 37)
Iteration 56, WS = [1107], MaxViolation = 9.53485028927911, 1D Update: 0 -> 8.668045717526462, #SV = 47 (#BSV = 37)
Iteration 57, WS = [168], MaxViolation = 9.129883907491426, 1D Update: 8.418938277143392 -> 10, #SV = 47 (#BSV = 38)
Iteration 58, WS = [199], MaxViolation = 7.706219809580914, 1D Update: 8.34597675553951 -> 10, #SV = 47 (#BSV = 39)
Iteration 59, WS = [45], MaxViolation = 5.942737643936127, 1D Update: 8.97334464857403 -> 10, #SV = 47 (#BSV = 40)
Iteration 60, WS = [1173], MaxViolation = 5.3505072529447455, 1D Update: 6.911606558539795 -> 10, #SV = 47 (#BSV = 41)
Iteration 61, WS = [238], MaxViolation = 7.865299281415162, 1D Update: 9.046202771295691 -> 10, #SV = 47 (#BSV = 42)
Iteration 62, WS = [94], MaxViolation = 6.514789751610061, 1D Update: 0 -> 5.922536137827327, #SV = 48 (#BSV = 42)
Iteration 63, WS = [933], MaxViolation = 9.175899273461038, 1D Update: 0 -> 8.341726612237307, #SV = 49 (#BSV = 42)
Iteration 64, WS = [212], MaxViolation = 9.264646115239838, 1D Update: 0 -> 8.422405559308944, #SV = 50 (#BSV = 42)
Iteration 65, WS = [988], MaxViolation = 8.96088435734537, 1D Update: 7.097627532152334 -> 10, #SV = 50 (#BSV = 43)
Iteration 66, WS = [1304], MaxViolation = 6.063203752832482, 1D Update: 8.948525163799067 -> 10, #SV = 50 (#BSV = 44)
Iteration 67, WS = [933], MaxViolation = 5.1219711663925995, 1D Update: 8.341726612237307 -> 10, #SV = 50 (#BSV = 45)
Iteration 68, WS = [599], MaxViolation = 6.364274062886141, 1D Update: 0 -> 5.785703693532855, #SV = 51 (#BSV = 45)
Iteration 69, WS = [825], MaxViolation = 9.12756269686286, 1D Update: 8.983052490296169 -> 10, #SV = 51 (#BSV = 46)
Iteration 70, WS = [960], MaxViolation = 7.361064806423725, 1D Update: 0 -> 6.69187709674884, #SV = 52 (#BSV = 46)
Iteration 71, WS = [282], MaxViolation = 8.757426397270628, 1D Update: 0 -> 7.961296724791479, #SV = 53 (#BSV = 46)
Iteration 72, WS = [1107], MaxViolation = 8.505129323570133, 1D Update: 8.668045717526462 -> 10, #SV = 53 (#BSV = 47)
Iteration 73, WS = [1114], MaxViolation = 7.138352944907755, 1D Update: 0 -> 6.489411768097958, #SV = 54 (#BSV = 47)
Iteration 74, WS = [94], MaxViolation = 8.71799776428383, 1D Update: 5.922536137827327 -> 10, #SV = 54 (#BSV = 48)
Iteration 75, WS = [806], MaxViolation = 4.683972039881069, 1D Update: 0 -> 4.25815639989188, #SV = 55 (#BSV = 48)
Iteration 76, WS = [507], MaxViolation = 8.46394301637136, 1D Update: 0 -> 7.69449365124669, #SV = 56 (#BSV = 48)
Iteration 77, WS = [1114], MaxViolation = 8.760671998420506, 1D Update: 6.489411768097958 -> 10, #SV = 56 (#BSV = 49)
Iteration 78, WS = [960], MaxViolation = 4.709583314920504, 1D Update: 6.69187709674884 -> 10, #SV = 56 (#BSV = 50)
Iteration 79, WS = [674], MaxViolation = 7.651114658252695, 1D Update: 0 -> 6.955558780229722, #SV = 57 (#BSV = 50)
Iteration 80, WS = [989], MaxViolation = 8.165433453151255, 1D Update: 0 -> 7.423121321046596, #SV = 58 (#BSV = 50)
Iteration 81, WS = [526], MaxViolation = 8.589995704151995, 1D Update: 0 -> 7.809087003774541, #SV = 59 (#BSV = 50)
Iteration 82, WS = [806], MaxViolation = 7.836837724878582, 1D Update: 4.25815639989188 -> 10, #SV = 59 (#BSV = 51)
Iteration 83, WS = [599], MaxViolation = 6.9834751434129005, 1D Update: 5.785703693532855 -> 10, #SV = 59 (#BSV = 52)
Iteration 84, WS = [989], MaxViolation = 5.872541414499139, 1D Update: 7.423121321046596 -> 10, #SV = 59 (#BSV = 53)
Iteration 85, WS = [513], MaxViolation = 5.662871366757285, 1D Update: 0 -> 5.148064878870259, #SV = 60 (#BSV = 53)
Iteration 86, WS = [969], MaxViolation = 8.200186455444456, 1D Update: 8.782806584199278 -> 10, #SV = 60 (#BSV = 54)
Iteration 87, WS = [1023], MaxViolation = 6.913204078709591, 1D Update: 0 -> 6.284730980645082, #SV = 61 (#BSV = 54)
Iteration 88, WS = [507], MaxViolation = 8.30011695089037, 1D Update: 7.69449365124669 -> 10, #SV = 61 (#BSV = 55)
Iteration 89, WS = [71], MaxViolation = 5.573000721377345, 1D Update: 0 -> 5.066364292161222, #SV = 62 (#BSV = 55)
Iteration 90, WS = [1353], MaxViolation = 8.27253625754083, 1D Update: 0 -> 7.520487506855299, #SV = 63 (#BSV = 55)
Iteration 91, WS = [674], MaxViolation = 7.983709615923395, 1D Update: 6.955558780229722 -> 10, #SV = 63 (#BSV = 56)
Iteration 92, WS = [282], MaxViolation = 4.930848653973243, 1D Update: 7.961296724791479 -> 10, #SV = 63 (#BSV = 57)
Iteration 93, WS = [1023], MaxViolation = 5.964168761946889, 1D Update: 6.284730980645082 -> 10, #SV = 63 (#BSV = 58)
Iteration 94, WS = [71], MaxViolation = 6.483095584305577, 1D Update: 5.066364292161222 -> 10, #SV = 63 (#BSV = 59)
Iteration 95, WS = [1371], MaxViolation = 7.0273963642629065, 1D Update: 0 -> 6.388542149329915, #SV = 64 (#BSV = 59)
Iteration 96, WS = [22], MaxViolation = 7.8624012158747565, 1D Update: 0 -> 7.1476374689770505, #SV = 65 (#BSV = 59)
Iteration 97, WS = [1317], MaxViolation = 7.9404470482213485, 1D Update: 0 -> 7.218588225655771, #SV = 66 (#BSV = 59)
Iteration 98, WS = [22], MaxViolation = 7.573972388759943, 1D Update: 7.1476374689770505 -> 10, #SV = 66 (#BSV = 60)
Iteration 99, WS = [76], MaxViolation = 4.892125263977151, 1D Update: 0 -> 4.447386603615592, #SV = 67 (#BSV = 60)
Iteration 100, WS = [1353], MaxViolation = 7.049936638776813, 1D Update: 7.520487506855299 -> 10, #SV = 67 (#BSV = 61)
Iteration 101, WS = [1475], MaxViolation = 5.099749994610084, 1D Update: 0 -> 4.63613635873644, #SV = 68 (#BSV = 61)
Iteration 102, WS = [212], MaxViolation = 7.061545383821422, 1D Update: 8.422405559308944 -> 10, #SV = 68 (#BSV = 62)
Iteration 103, WS = [551], MaxViolation = 5.5945432077102755, 1D Update: 0 -> 5.0859483706457045, #SV = 69 (#BSV = 62)
Iteration 104, WS = [1299], MaxViolation = 6.768390385593283, 1D Update: 0 -> 6.153082168721165, #SV = 70 (#BSV = 62)
Iteration 105, WS = [32], MaxViolation = 8.207824838868042, 1D Update: 0 -> 7.461658944425492, #SV = 71 (#BSV = 62)
Iteration 106, WS = [1249], MaxViolation = 7.932861436922365, 1D Update: 0 -> 7.211692215383968, #SV = 72 (#BSV = 62)
Iteration 107, WS = [32], MaxViolation = 7.747090261836837, 1D Update: 7.461658944425492 -> 10, #SV = 72 (#BSV = 63)
Iteration 108, WS = [513], MaxViolation = 5.443198818371398, 1D Update: 5.148064878870259 -> 10, #SV = 72 (#BSV = 64)
Iteration 109, WS = [1531], MaxViolation = 7.567309549026252, 1D Update: 0 -> 6.879372317296592, #SV = 73 (#BSV = 64)
Iteration 110, WS = [526], MaxViolation = 6.670240977834137, 1D Update: 7.809087003774541 -> 10, #SV = 73 (#BSV = 65)
Iteration 111, WS = [218], MaxViolation = 4.737480970804528, 1D Update: 0 -> 4.30680088254957, #SV = 74 (#BSV = 65)
Iteration 112, WS = [1249], MaxViolation = 7.563728662520692, 1D Update: 7.211692215383968 -> 10, #SV = 74 (#BSV = 66)
Iteration 113, WS = [1446], MaxViolation = 4.548244903306076, 1D Update: 0 -> 4.134768093914614, #SV = 75 (#BSV = 66)
Iteration 114, WS = [235], MaxViolation = 7.549061146132866, 1D Update: 0 -> 6.862782860120786, #SV = 76 (#BSV = 66)
Iteration 115, WS = [1446], MaxViolation = 7.366047035489045, 1D Update: 4.134768093914614 -> 10, #SV = 76 (#BSV = 67)
Iteration 116, WS = [235], MaxViolation = 6.295343299484143, 1D Update: 6.862782860120786 -> 10, #SV = 76 (#BSV = 68)
Iteration 117, WS = [1371], MaxViolation = 5.176822324995088, 1D Update: 6.388542149329915 -> 10, #SV = 76 (#BSV = 69)
Iteration 118, WS = [358], MaxViolation = 6.072641290133801, 1D Update: 0 -> 5.520582991030728, #SV = 77 (#BSV = 69)
Iteration 119, WS = [1299], MaxViolation = 7.045984932741224, 1D Update: 6.153082168721165 -> 10, #SV = 77 (#BSV = 70)
Iteration 120, WS = [76], MaxViolation = 5.412917100167141, 1D Update: 4.447386603615592 -> 9.368220331040265, #SV = 77 (#BSV = 70)
Iteration 121, WS = [1317], MaxViolation = 6.28133091022722, 1D Update: 7.218588225655771 -> 10, #SV = 77 (#BSV = 71)
Iteration 122, WS = [218], MaxViolation = 3.991152645245071, 1D Update: 4.30680088254957 -> 7.935121469135998, #SV = 77 (#BSV = 71)
Iteration 123, WS = [1531], MaxViolation = 6.816716280303657, 1D Update: 6.879372317296592 -> 10, #SV = 77 (#BSV = 72)
Iteration 124, WS = [1280], MaxViolation = 4.356831421508868, 1D Update: 0 -> 3.9607558377353347, #SV = 78 (#BSV = 72)
Iteration 125, WS = [358], MaxViolation = 6.862225524748395, 1D Update: 5.520582991030728 -> 10, #SV = 78 (#BSV = 73)
Iteration 126, WS = [1475], MaxViolation = 4.81586390883097, 1D Update: 4.63613635873644 -> 9.014194457673685, #SV = 78 (#BSV = 73)
Iteration 127, WS = [555], MaxViolation = 6.285396855760812, 1D Update: 0 -> 5.713997141600737, #SV = 79 (#BSV = 73)
Iteration 128, WS = [916], MaxViolation = 6.109574403657452, 1D Update: 0 -> 5.554158548779501, #SV = 80 (#BSV = 73)
