l = 782.
Q Cache of size 1000MB storing 782 rows.
SMO (2D) selected.
Iteration 1, WS = [1, 386], MinDeltaObj = -85.36474416961836, Gmax = 1, Gmin = -1, DeltaGradient = 2, 2D Update: i = 0 -> 85.36474416961836, j = 0 -> 85.36474416961836, #SV = 2 (#BSV = 0)
Iteration 26, WS = [652, 454], MinDeltaObj = -140.4841471852053, Gmax = 16.1578038196032, Gmin = 2.9537313445988254, DeltaGradient = 13.204072475004374, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 51 (#BSV = 43)
Iteration 27, WS = [165, 400], MinDeltaObj = -817.2649575884515, Gmax = 17.3977242960424, Gmin = 5.516901869877405, DeltaGradient = 11.880822426164997, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 53 (#BSV = 45)
Iteration 28, WS = [29, 390], MinDeltaObj = -599.9089134417176, Gmax = 17.40995706542134, Gmin = 6.6380127941548075, DeltaGradient = 10.771944271266534, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 55 (#BSV = 47)
Iteration 29, WS = [690, 299], MinDeltaObj = -979.4026186779913, Gmax = 17.59904679716487, Gmin = 8.332126480570622, DeltaGradient = 9.266920316594248, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 57 (#BSV = 49)
Iteration 30, WS = [177, 377], MinDeltaObj = -358.99599022561165, Gmax = 17.39687859931839, Gmin = 6.1094950184672285, DeltaGradient = 11.287383580851163, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 59 (#BSV = 51)
Iteration 31, WS = [559, 31], MinDeltaObj = -309.47481392457576, Gmax = 17.325847076680038, Gmin = 4.929967548403763, DeltaGradient = 12.395879528276275, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 61 (#BSV = 53)
Iteration 32, WS = [213, 402], MinDeltaObj = -437.9560523749913, Gmax = 18.160356450160034, Gmin = 4.65471206318999, DeltaGradient = 13.505644386970044, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 63 (#BSV = 55)
Iteration 33, WS = [195, 689], MinDeltaObj = -766.256964014351, Gmax = 17.77524057431081, Gmin = 5.267200529516948, DeltaGradient = 12.508040044793862, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 65 (#BSV = 57)
Iteration 34, WS = [99, 211], MinDeltaObj = -311.6086153572185, Gmax = 17.639630955957912, Gmin = 3.298314376149783, DeltaGradient = 14.34131657980813, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 67 (#BSV = 59)
Iteration 35, WS = [282, 325], MinDeltaObj = -170.60117950035723, Gmax = 17.689863832068912, Gmin = 6.273900530197473, DeltaGradient = 11.41596330187144, 2D Update: i = 0 -> 46.63113969277405, j = 24.338910592321177 -> 70.97005028509523, #SV = 68 (#BSV = 59)
